rank,company_name,region_city,website,phone,email,contact_person,role,warmth,deye_knowledge,battery_experience,source,notes,status,lead_score,hot_score,source_url
1,Zonne-energie Noord-Nederland,"Beilen, Drenthe",https://www.zonne-energie-noord-nederland.nl/,0593-523263,info@zonne-energie-noord-nederland.nl,,,WARM,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Sterke regionale fit voor Noord-Nederland en EcoHandel-partnerdekking.,new-campaign,100,0.0,https://jeroen.nl/go/installateur/zonne-energie-noord-nederland
2,Zonnefabriek,"Amsterdam, Noord-Holland",https://www.zonnefabriek.nl,020-6766614,info@zonnefabriek.nl,,,WARM,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Bekendere duurzame installateur; interessant voor serieuzer partnership of volume.,new-campaign,100,0.0,https://jeroen.nl/go/installateur/zonnefabriek
3,Zelfstroom,"'s-Hertogenbosch, Noord-Brabant",https://www.zelfstroom.nl,085-2010160,zonnepanelen@zelfstroom.nl,,,WARM,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Landelijk bekend merk met installatieschaal; commercieel interessante partij.,new-campaign,100,0.0,https://jeroen.nl/go/installateur/zelfstroom
4,Brenergie,"Waalre, Noord-Brabant",https://brenergie.nl/,040-2405700,info@brenergie.nl,,,WARM-MIDDEL,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Sterke Brabant-fit voor thuisbatterij/hybride omvormer doelgroep.,new-campaign,90,0.0,https://jeroen.nl/go/installateur/brenergie
5,Gruun,"Tilburg, Noord-Brabant",https://www.gruun.nl,013-7851101,info@gruun.nl,,,WARM,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,"Tilburg-regio, moderne duurzame installateur; interessant voor Brabant-dekking.",new-campaign,90,0.0,https://jeroen.nl/go/installateur/gruun
6,Puurzon,"Jirnsum, Friesland",https://puurzon.nl,06-48076356,info@puurzon.nl,,,WARM-MIDDEL,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Sterke regionale installateur in Friesland met directe mobiele contactlijn.,new-campaign,85,0.0,https://jeroen.nl/go/installateur/puurzon
7,Solease,"Utrecht, Utrecht",https://www.solease.nl/,030-3200237,info@solease.nl,,,WARM-MIDDEL,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Utrechtse lead met landelijke uitstraling en goede contactdata.,new-campaign,85,0.0,https://jeroen.nl/go/installateur/solease
8,Mensonides,"Harlingen, Friesland",https://www.mensonides.nl,0517-412658,info@mensonides.nl,,,WARM-MIDDEL,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Op Jeroen.nl opgenomen als thuisbatterij-installateur; relevant voor residentiële/batterijprojecten.,new-campaign,80,0.0,https://jeroen.nl/go/installateur/mensonides
9,GroenOpgewekt,"Meppel, Drenthe",https://www.groenopgewekt.nl/,0522-853513,info@groenopgewekt.nl,,,WARM-MIDDEL,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Goede noordelijke dekking; thuisbatterij-relevant volgens Jeroen-lijst.,new-campaign,80,0.0,https://jeroen.nl/go/installateur/groenopgewekt
10,Reda Solar,"Tiendeveen, Drenthe",https://www.redasolar.nl,0528-746012,info@redasolar.nl,,,WARM-MIDDEL,ONBEKEND,JA - via Jeroen thuisbatterij-installateurs,jeroen.nl thuisbatterij installateurs,Regionale solarpartij met directe contactdata en thuisbatterij-relevantie.,new-campaign,80,0.0,https://jeroen.nl/go/installateur/reda-solar
