BEDRIJF,PROVINCIE,WEBSITE,TELEFOON,EMAIL,CONTACTPERSOON,FUNCTIE,BATTERIJ_ERVARING,DEYE_KENNIS,WARMTE,BRON,NOTITIES,DATUM
OnzeStroom B.V.,Almere (FL),onzestroom.nl,085-620 04 77,info@onzestroom.nl,Mick Bakker,Oprichter,JA,ONBEKEND,WARM,thuisbatterij installatie NL,Landelijke dekking,2026-03-22
Accuselect B.V.,ONBEKEND,accuselect.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - Powerselect,ONBEKEND,MIDDEL,thuisbatterij NL,KvK 87814048,2026-03-22
Thuisbatterij.nl (Recharged BV),Den Hoorn (ZH),thuisbatterij.nl,ONBEKEND,info@recharged.nl,ONBEKEND,ONBEKEND,JA,ONBEKEND,MIDDEL-WARM,thuisbatterij NL,KvK 89243188 - Den Hoorn ZH,2026-03-22
Recharged Zakelijk,Den Hoorn (ZH),recharged.nl,ONBEKEND,info@recharged.nl,ONBEKEND,ONBEKEND,JA - zakelijk,ONBEKEND,WARM,recharged.nl zakelijke thuisbatterijen,Zakelijke focus - goede prospect,2026-03-22
MetDeZon,Landelijk,zonnepanelen.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA,sinds 2008,MIDDEL,zonnepanelen + thuisbatterijen + laadpalen,Oud maar gevestigd bedrijf,2026-03-22
Multi Energy Solutions,Noord-Holland,multienergysolutions.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - Enphase/SolarEdge,NIET,MIDDEL,Enphase en SolarEdge dealer, Zouden bestaande merken kunnen switchen naar Deye?,2026-03-22
Kiwatt,Landelijk,kiwatt.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - zakelijk,ONBEKEND,WARM,zakelijke batterijoplossingen NL,Focus op netcongestie - ideale prospect Deye omvormers,2026-03-22
Batterijenhuis,Landelijk,batterijthuis.com,0850781279,info@batterijthuis.com,ONBEKEND,ONBEKEND,JA,NIET (Duracell),MIDDEL,thuisbatterij NL,Verkoopt Duracell - potentieel voor switch naar Deye?,2026-03-22
ThuisbatterijNederland.nl,Landelijk,thuisbatterijnederland.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA,NIET,MIDDEL,thuisbatterij vergelijking NL,Vergelijkingsplatform - lastig te bereiken,2026-03-22
Trustoo (aggregator),Landelijk,trustoo.nl/nederland/thuisbatterij/,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA (lead aggregator),ONBEKEND,MIDDEL,Top 10 thuisbatterij installateurs NL,Niet 1 bedrijf maar overzicht - kan helpen met research,2026-03-22
Offgridcentrum.nl,Landelijk (webshop),offgridcentrum.nl,085 00 126 50,info@offgridcentrum.nl,ONBEKEND,ONBEKEND,JA - Victron + Deye,JA (verkoopt Deye),WARM,Deye omvormer NL pagina,Officieel Victron dealer die ook Deye verkoopt - ideale prospect - bereikbaar ma-vr 08:30-17:00,2026-03-22
Schulte Energie & Techniek,Denekamp (OV),schulte-energie-techniek.nl,0541 35 25 20,info@schulte-energie-techniek.nl,Michiel Westerhof,Adviseur,JA - Slimmerik systeem,ONBEKEND,WARM,thuisbatterij installateur OV,Familiebedrijf met thuisbatterij focus - goede supportstructuur,2026-03-22
Alma Solar Shop NL,Frankrijk (webshop NL),alma-solarshop.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA - BYD/Huawei/Enphase,JA (Deye dealer),WARM,Deye omvormer NL pagina,Franse wholesaler die actief in NL verkoopt - potentieel voor wholesale partnership,2026-03-22
Simply-Offgrid.nl,Landelijk (webshop),simply-offgrid.nl,ONBEKEND,support@simply-offgrid.nl,ONBEKEND,ONBEKEND,JA - Victron specialist,NIET,MIDDEL,Victron dealer NL,Erkend Victron specialist - geen Deye kennis maar mogelijk switch potentieel,2026-03-22
HTX Solar,Landelijk (webshop),htxsolar.nl,ONBEKEND,ONBEKEND,ONBEKEND,ONBEKEND,JA,JA (Deye dealer),WARM,Deye omvormer pagina,Nederlandse wholesaler met Deye focus - directe concurrent/partnership,2026-03-22
Bliq Energy,Amsterdam (NH),bliq.energy,ONBEKEND,info@bliq.energy,ONBEKEND,ONBEKEND,JA - Energiemanagement,JA (Deye handleidingen),WARM,Bliq installateur portal,Deye+Sofar dealer met focus op dynamisch energiehandelen - hightech prospect,2026-03-22
ZPN (Zonnepanelen Noord),Groningen (GN),zpn.nl,ONBEKEND,info@zpn.nl,ONBEKEND,ONBEKEND,JA - thuisbatterij specialist,WARM,Google zoekopdracht,Noord-Nederland specialist - levert in GN/FR/DR/OV/FL - ideale regionale partner,2026-03-22,ONBEKEND
