company_name,contact_person,email,province
Nova-Cell B.V.,,info@nova-cell.com,Barneveld (GE)
Generation Green,,info@generationgreen.energy,Landelijk (NL)
Shift to Solar B.V.,,info@shifttosolar.nl,Zwolle (OV)
Intercel Services B.V.,Dirk van Gogswaardt (BD Manager),sales-ess@intercel.nl,Haarlem (NH)
OnzeStroom B.V.,Mick Bakker,info@onzestroom.nl,Almere (FL)
JS Energy (J&S Verduurzaming),,info@jsenergy.nl,Landelijk
Aalberts Duurzame Installaties,,info@aalbertsdi.nl,Achterveld (GE)
Markhorst B.V.,Kobe Stokmans (contact),info@markhorstbv.nl,Eersel (NB)
Recharged Zakelijk,,info@recharged.nl,Den Hoorn (ZH)
Soly,,info@soly.nl,Amsterdam (NH)
